transaction_id,timestamp,account_id,account_type,account_age_days,account_balance,amount,transaction_type,location,merchant_category,channel,device_type,currency,is_international,ip_address,is_fraud,fraud_type,hour,day_of_week,day_of_month,month,quarter,is_weekend,is_business_hours,amount_log,amount_category,high_risk_merchant,medium_risk_merchant
TXN_00007816,2025-03-07 04:16:34.017445,ACC_000144,PERSONAL,3082,44962.56,35.88,WITHDRAWAL,MI,retail,mobile_app,POS,EUR,False,192.168.147.234,0,,4,4,7,3,1,0,0,3.607669398688393,micro,0,0
TXN_00008136,2025-03-07 04:18:58.017445,ACC_000070,PERSONAL,3422,98271.91,32.29,WITHDRAWAL,NC,retail,phone,TABLET,USD,False,192.168.3.85,0,,4,4,7,3,1,0,0,3.5052570515869337,micro,0,0
TXN_00009939,2025-03-07 04:21:05.017445,ACC_000426,PERSONAL,610,1454.16,7.88,PURCHASE,GA,restaurant,atm,MOBILE,USD,False,192.168.171.201,0,,4,4,7,3,1,0,0,2.1838015570040787,micro,0,0
TXN_00008502,2025-03-07 04:28:26.017445,ACC_000263,BUSINESS,910,84120.19,103.05,PAYMENT,CA,entertainment,online,ATM,EUR,False,192.168.53.135,0,,4,4,7,3,1,0,0,4.644871552839644,small,0,1
TXN_00002201,2025-03-07 04:36:03.017445,ACC_000355,BUSINESS,1875,65939.07,870.21,PAYMENT,NY,electronics,mobile_app,MOBILE,USD,True,192.168.72.35,0,,4,4,7,3,1,0,0,6.769883049973443,medium,0,1
TXN_00009637,2025-03-07 05:02:08.017445,ACC_000160,PERSONAL,3190,89825.75,772.77,DEPOSIT,NC,grocery,atm,MOBILE,USD,False,192.168.212.183,0,,5,4,7,3,1,0,0,6.651274671806913,medium,0,0
TXN_00001605,2025-03-07 05:43:44.017445,ACC_000113,PERSONAL,3565,5824.84,53.64,WITHDRAWAL,NC,restaurant,online,POS,USD,False,192.168.59.205,0,,5,4,7,3,1,0,0,4.0007662152625345,micro,0,0
TXN_00009490,2025-03-07 05:53:06.017445,ACC_000103,PERSONAL,108,101536.94,5323.27,TRANSFER,CA,travel,mobile_app,DESKTOP,USD,False,192.168.44.153,0,,5,4,7,3,1,0,0,8.580030891978165,xlarge,0,1
TXN_00001758,2025-03-07 05:56:26.017445,ACC_000381,PERSONAL,3360,31569.84,184.84,WITHDRAWAL,MA,retail,mobile_app,DESKTOP,EUR,False,192.168.211.95,0,,5,4,7,3,1,0,0,5.224886088462154,small,0,0
TXN_00009574,2025-03-07 06:24:20.017445,ACC_000163,PERSONAL,650,44815.72,488.3,TRANSFER,CA,grocery,mobile_app,MOBILE,USD,False,192.168.158.69,0,,6,4,7,3,1,0,0,6.192975798295078,small,0,0
TXN_00008765,2025-03-07 06:27:31.017445,ACC_000443,JOINT,1548,56726.9,5.69,DEPOSIT,NC,restaurant,mobile_app,POS,USD,False,192.168.154.56,0,,6,4,7,3,1,0,0,1.900613874140137,micro,0,0
TXN_00007778,2025-03-07 06:27:34.017445,ACC_000032,PERSONAL,5,13262.98,98.29,WITHDRAWAL,CO,healthcare,mobile_app,ATM,USD,False,192.168.7.223,0,,6,4,7,3,1,0,0,4.598044861045503,micro,0,0
TXN_00007559,2025-03-07 06:39:06.017445,ACC_000082,JOINT,11,24941.7,9521.89,PAYMENT,PA,cryptocurrency,mobile_app,TABLET,EUR,False,192.168.255.198,0,,6,4,7,3,1,0,0,9.1614536531455,xlarge,1,0
TXN_00009758,2025-03-07 06:43:50.017445,ACC_000454,PERSONAL,3504,63537.81,4249.02,TRANSFER,IL,travel,online,POS,USD,False,192.168.250.20,0,,6,4,7,3,1,0,0,8.354678967789743,large,0,1
TXN_00003075,2025-03-07 06:44:23.017445,ACC_000326,PERSONAL,3286,1544.48,296.38,WITHDRAWAL,FL,entertainment,online,DESKTOP,USD,False,192.168.179.15,0,,6,4,7,3,1,0,0,5.695010782269077,small,0,1
TXN_00000768,2025-03-07 06:55:03.017445,ACC_000361,PERSONAL,2776,15672.95,31.36,TRANSFER,IL,education,atm,MOBILE,USD,False,192.168.63.190,0,,6,4,7,3,1,0,0,3.4769230921902907,micro,0,0
TXN_00009500,2025-03-07 07:13:41.017445,ACC_000391,PERSONAL,2159,47508.46,278.84,WITHDRAWAL,MI,travel,phone,MOBILE,USD,False,192.168.211.4,0,,7,4,7,3,1,0,0,5.634218011270292,small,0,1
TXN_00006824,2025-03-07 07:14:08.017445,ACC_000182,PERSONAL,594,7193.72,6207.47,TRANSFER,CO,money_transfer,online,DESKTOP,USD,False,192.168.59.109,0,,7,4,7,3,1,0,0,8.733669767760178,xlarge,1,0
TXN_00001635,2025-03-07 07:28:11.017445,ACC_000144,PERSONAL,3082,45087.96,89.52,PAYMENT,MI,entertainment,mobile_app,MOBILE,EUR,False,192.168.147.34,0,,7,4,7,3,1,0,0,4.505570820765336,micro,0,1
TXN_00001674,2025-03-07 07:42:22.017445,ACC_000018,PERSONAL,1148,51263.3,5.2,PURCHASE,TX,utilities,branch,POS,USD,True,192.168.221.235,0,,7,4,7,3,1,0,0,1.824549292051046,micro,0,0
TXN_00009613,2025-03-07 07:47:46.017445,ACC_000146,PERSONAL,1926,20258.97,2288.68,TRANSFER,MD,travel,branch,DESKTOP,USD,False,192.168.157.166,0,,7,4,7,3,1,0,0,7.7361673487927565,large,0,1
TXN_00009092,2025-03-07 08:06:29.017445,ACC_000073,PERSONAL,1574,44323.1,1158.27,WITHDRAWAL,FL,electronics,branch,MOBILE,EUR,False,192.168.232.199,0,,8,4,7,3,1,0,0,7.055545775656713,large,0,1
TXN_00009988,2025-03-07 08:28:40.017445,ACC_000304,JOINT,3270,5276.45,7.89,DEPOSIT,OH,money_transfer,online,POS,USD,False,192.168.184.25,1,OTHER_SUSPICIOUS,8,4,7,3,1,0,0,2.1849270495258133,micro,1,0
TXN_00009935,2025-03-07 08:38:23.017445,ACC_000483,BUSINESS,2339,93140.07,50.74,TRANSFER,MO,utilities,mobile_app,MOBILE,USD,False,192.168.102.123,0,,8,4,7,3,1,0,0,3.946231176757883,micro,0,0
TXN_00003601,2025-03-07 08:40:49.017445,ACC_000325,PERSONAL,680,78493.17,38.09,WITHDRAWAL,IL,entertainment,online,DESKTOP,USD,True,192.168.92.48,0,,8,4,7,3,1,0,0,3.6658666798048634,micro,0,1
TXN_00005790,2025-03-07 08:42:23.017445,ACC_000053,PERSONAL,41,28690.02,1521.35,PAYMENT,MO,travel,mobile_app,TABLET,USD,False,192.168.116.177,0,,8,4,7,3,1,0,0,7.328010472562937,large,0,1
TXN_00004161,2025-03-07 08:42:30.017445,ACC_000218,PERSONAL,283,73262.27,27.99,TRANSFER,NY,grocery,atm,DESKTOP,EUR,False,192.168.84.78,0,,8,4,7,3,1,0,0,3.3669509429335642,micro,0,0
TXN_00004651,2025-03-07 08:48:15.017445,ACC_000495,PERSONAL,1040,65902.45,395.39,DEPOSIT,MI,retail,phone,POS,USD,False,192.168.93.149,0,,8,4,7,3,1,0,0,5.982398575094235,small,0,0
TXN_00001404,2025-03-07 08:50:10.017445,ACC_000385,BUSINESS,434,17712.37,832.41,DEPOSIT,TN,money_transfer,atm,MOBILE,USD,False,192.168.252.74,1,OTHER_SUSPICIOUS,8,4,7,3,1,0,0,6.725525717956442,medium,1,0
TXN_00004811,2025-03-07 08:53:24.017445,ACC_000020,PERSONAL,3370,9577.85,176.88,DEPOSIT,TN,healthcare,online,ATM,USD,False,192.168.48.22,0,,8,4,7,3,1,0,0,5.1811091656424955,small,0,0
TXN_00007427,2025-03-07 09:04:03.017445,ACC_000330,PERSONAL,2462,25599.12,2562.26,PAYMENT,IN,travel,phone,DESKTOP,EUR,False,192.168.160.124,0,,9,4,7,3,1,0,1,7.849035164839772,large,0,1
TXN_00000248,2025-03-07 09:11:19.017445,ACC_000185,PERSONAL,3457,77585.54,97.65,WITHDRAWAL,MO,grocery,mobile_app,MOBILE,USD,False,192.168.4.182,0,,9,4,7,3,1,0,1,4.591578232468624,micro,0,0
TXN_00002854,2025-03-07 09:12:06.017445,ACC_000301,PERSONAL,206,66115.01,20.31,TRANSFER,IN,jewelry,mobile_app,MOBILE,USD,False,192.168.27.4,0,,9,4,7,3,1,0,1,3.0591764461105257,micro,1,0
TXN_00001195,2025-03-07 09:12:08.017445,ACC_000414,JOINT,3037,27764.73,1250.28,DEPOSIT,NC,restaurant,atm,DESKTOP,USD,False,192.168.11.109,0,,9,4,7,3,1,0,1,7.131922306365986,large,0,0
TXN_00008676,2025-03-07 09:13:16.017445,ACC_000389,PERSONAL,3269,23648.21,1264.31,DEPOSIT,NY,electronics,online,POS,USD,False,192.168.137.79,0,,9,4,7,3,1,0,1,7.1430724304280355,large,0,1
TXN_00007272,2025-03-07 09:14:12.017445,ACC_000016,PERSONAL,1637,45200.3,366.76,PURCHASE,MO,travel,atm,ATM,USD,False,192.168.32.136,0,,9,4,7,3,1,0,1,5.907430551497972,small,0,1
TXN_00008096,2025-03-07 09:14:27.017445,ACC_000066,PERSONAL,919,10699.61,123.18,TRANSFER,WA,gambling,mobile_app,TABLET,USD,True,192.168.10.98,0,,9,4,7,3,1,0,1,4.821732125936747,small,1,0
TXN_00006654,2025-03-07 09:14:45.017445,ACC_000083,PERSONAL,3282,92257.68817961184,3647.36,PAYMENT,NJ,retail,branch,MOBILE,USD,False,192.168.193.141,1,OTHER_SUSPICIOUS,9,4,7,3,1,0,1,8.202033030535782,large,0,0
TXN_00008870,2025-03-07 09:14:48.017445,ACC_000198,PERSONAL,1796,6782.6,203.73,TRANSFER,MO,restaurant,mobile_app,MOBILE,USD,False,192.168.89.128,0,,9,4,7,3,1,0,1,5.321692037864487,small,0,0
TXN_00009489,2025-03-07 09:15:06.017445,ACC_000442,PERSONAL,2647,67265.33,7.49,DEPOSIT,VA,healthcare,online,POS,USD,False,192.168.255.105,0,,9,4,7,3,1,0,1,2.138889000323256,micro,0,0
TXN_00005479,2025-03-07 09:16:46.017445,ACC_000280,PERSONAL,3576,60345.38,23.47,DEPOSIT,FL,restaurant,online,DESKTOP,USD,False,192.168.5.234,0,,9,4,7,3,1,0,1,3.19744787745458,micro,0,0
TXN_00000180,2025-03-07 09:17:21.017445,ACC_000121,PERSONAL,589,55968.8,1924.26,WITHDRAWAL,WA,healthcare,online,DESKTOP,USD,False,192.168.82.229,0,,9,4,7,3,1,0,1,7.562816302536502,large,0,0
TXN_00009585,2025-03-07 09:19:08.017445,ACC_000407,JOINT,1882,39716.1,112.57,TRANSFER,NJ,utilities,online,MOBILE,EUR,False,192.168.72.168,0,,9,4,7,3,1,0,1,4.732419386903555,small,0,0
TXN_00009393,2025-03-07 09:19:40.017445,ACC_000482,PERSONAL,2813,40778.01,795.04,DEPOSIT,CA,restaurant,online,DESKTOP,USD,False,192.168.89.226,0,,9,4,7,3,1,0,1,6.679649435838113,medium,0,0
TXN_00001066,2025-03-07 09:21:00.017445,ACC_000487,PERSONAL,1906,68709.17,26.43,WITHDRAWAL,WA,grocery,mobile_app,DESKTOP,USD,False,192.168.195.169,0,,9,4,7,3,1,0,1,3.311637304949512,micro,0,0
TXN_00008618,2025-03-07 09:21:22.017445,ACC_000325,PERSONAL,680,78481.61,49.65,PURCHASE,IL,retail,online,MOBILE,EUR,False,192.168.150.195,0,,9,4,7,3,1,0,1,3.9249392306946924,micro,0,0
TXN_00004233,2025-03-07 09:21:41.017445,ACC_000172,PERSONAL,3288,40341.14,16.58,TRANSFER,TX,retail,mobile_app,MOBILE,USD,False,192.168.232.26,0,,9,4,7,3,1,0,1,2.866761892257031,micro,0,0
TXN_00001208,2025-03-07 09:24:41.017445,ACC_000136,PERSONAL,208,72536.45,26.28,TRANSFER,TX,retail,mobile_app,MOBILE,USD,True,192.168.125.147,0,,9,4,7,3,1,0,1,3.3061538329752613,micro,0,0
TXN_00005697,2025-03-07 09:24:45.017445,ACC_000100,PERSONAL,29,48236.34,578.9,DEPOSIT,FL,retail,atm,MOBILE,EUR,False,192.168.196.49,0,,9,4,7,3,1,0,1,6.362855674882395,medium,0,0
TXN_00002128,2025-03-07 09:25:54.017445,ACC_000224,BUSINESS,1675,69022.59,358.5,WITHDRAWAL,NY,grocery,mobile_app,MOBILE,EUR,False,192.168.187.200,0,,9,4,7,3,1,0,1,5.884714177161102,small,0,0
TXN_00002678,2025-03-07 09:28:09.017445,ACC_000016,PERSONAL,1637,44838.48,4.94,WITHDRAWAL,MO,grocery,mobile_app,MOBILE,USD,False,192.168.198.3,0,,9,4,7,3,1,0,1,1.7817091333745536,micro,0,0
TXN_00009375,2025-03-07 09:28:13.017445,ACC_000466,PERSONAL,1658,20885.5,592.57,TRANSFER,NJ,cryptocurrency,phone,DESKTOP,USD,False,192.168.220.42,1,OTHER_SUSPICIOUS,9,4,7,3,1,0,1,6.386155151492471,medium,1,0
TXN_00002970,2025-03-07 09:29:36.017445,ACC_000236,PERSONAL,1491,28148.75,8.5,PAYMENT,WA,retail,branch,DESKTOP,USD,False,192.168.11.189,0,,9,4,7,3,1,0,1,2.2512917986064953,micro,0,0
TXN_00001209,2025-03-07 09:30:02.017445,ACC_000312,JOINT,452,74777.89,341.0,TRANSFER,OH,automotive,branch,MOBILE,EUR,False,192.168.45.71,0,,9,4,7,3,1,0,1,5.834810737062605,small,0,1
TXN_00009545,2025-03-07 09:30:44.017445,ACC_000015,PERSONAL,1258,24804.17,41.25,DEPOSIT,NC,restaurant,online,POS,USD,False,192.168.35.31,0,,9,4,7,3,1,0,1,3.7436043538031827,micro,0,0
TXN_00000035,2025-03-07 09:31:05.017445,ACC_000261,PERSONAL,3619,627.82,38.19,DEPOSIT,IN,education,phone,MOBILE,EUR,True,192.168.194.13,0,,9,4,7,3,1,0,1,3.66842161221154,micro,0,0
TXN_00009018,2025-03-07 09:31:46.017445,ACC_000177,PERSONAL,983,68821.22,371.42,WITHDRAWAL,NC,grocery,online,DESKTOP,USD,False,192.168.146.119,0,,9,4,7,3,1,0,1,5.920022249653616,small,0,0
TXN_00005312,2025-03-07 09:34:46.017445,ACC_000282,PERSONAL,278,98141.97,25.2,DEPOSIT,VA,restaurant,branch,TABLET,USD,False,192.168.104.228,0,,9,4,7,3,1,0,1,3.265759410767051,micro,0,0
TXN_00000418,2025-03-07 09:35:46.017445,ACC_000394,JOINT,2074,56776.91,514.25,TRANSFER,PA,restaurant,mobile_app,POS,EUR,False,192.168.222.56,0,,9,4,7,3,1,0,1,6.244652219770568,medium,0,0
TXN_00004984,2025-03-07 09:36:50.017445,ACC_000175,PERSONAL,92,1867.7,0.69,PAYMENT,MD,travel,online,ATM,USD,False,192.168.85.179,0,,9,4,7,3,1,0,1,0.5247285289349821,micro,0,1
TXN_00007913,2025-03-07 09:37:14.017445,ACC_000487,PERSONAL,1906,69042.2,359.46,DEPOSIT,WA,retail,atm,DESKTOP,USD,False,192.168.98.219,0,,9,4,7,3,1,0,1,5.887380993564659,small,0,0
TXN_00002840,2025-03-07 09:38:39.017445,ACC_000398,PERSONAL,1218,91632.79,17.62,WITHDRAWAL,IN,retail,phone,DESKTOP,GBP,False,192.168.113.196,0,,9,4,7,3,1,0,1,2.924236271848921,micro,0,0
TXN_00005484,2025-03-07 09:40:22.017445,ACC_000388,PERSONAL,3314,10492.99,1466.05,PAYMENT,GA,money_transfer,mobile_app,DESKTOP,USD,False,192.168.8.88,1,OTHER_SUSPICIOUS,9,4,7,3,1,0,1,7.291008860725081,large,1,0
TXN_00007735,2025-03-07 09:41:57.017445,ACC_000229,PERSONAL,2332,87484.33,196.22,WITHDRAWAL,NC,restaurant,mobile_app,DESKTOP,USD,True,192.168.97.175,0,,9,4,7,3,1,0,1,5.284319856904183,small,0,0
TXN_00003213,2025-03-07 09:42:57.017445,ACC_000107,PERSONAL,402,7852.42,64.8,DEPOSIT,MA,restaurant,mobile_app,POS,USD,False,192.168.31.47,0,,9,4,7,3,1,0,1,4.186619838331271,micro,0,0
TXN_00006691,2025-03-07 09:44:56.017445,ACC_000066,PERSONAL,919,10231.65,344.78,WITHDRAWAL,WA,utilities,phone,POS,USD,False,192.168.27.63,0,,9,4,7,3,1,0,1,5.84580273467663,small,0,0
TXN_00002713,2025-03-07 09:49:23.017445,ACC_000422,BUSINESS,527,59990.57,140.54,PAYMENT,OH,jewelry,online,MOBILE,USD,False,192.168.117.26,0,,9,4,7,3,1,0,1,4.952582362647639,small,1,0
TXN_00003523,2025-03-07 09:49:27.017445,ACC_000204,BUSINESS,922,67337.9,3293.4,WITHDRAWAL,IL,travel,online,ATM,USD,False,192.168.52.103,0,,9,4,7,3,1,0,1,8.099979336273526,large,0,1
TXN_00004920,2025-03-07 09:51:21.017445,ACC_000378,PERSONAL,2554,42821.19,346.94,DEPOSIT,PA,automotive,phone,DESKTOP,USD,False,192.168.223.233,0,,9,4,7,3,1,0,1,5.8520300511164045,small,0,1
TXN_00006539,2025-03-07 09:51:36.017445,ACC_000073,PERSONAL,1574,44436.17,1045.2,DEPOSIT,FL,jewelry,atm,TABLET,USD,False,192.168.134.120,0,,9,4,7,3,1,0,1,6.95291983093651,large,1,0
TXN_00006496,2025-03-07 09:53:41.017445,ACC_000409,PERSONAL,465,62660.02,23.04,PAYMENT,IL,entertainment,atm,MOBILE,USD,False,192.168.142.38,0,,9,4,7,3,1,0,1,3.179719109667007,micro,0,1
TXN_00007534,2025-03-07 09:56:05.017445,ACC_000268,BUSINESS,2921,71133.28,406.33,PAYMENT,MO,restaurant,online,POS,USD,False,192.168.82.24,0,,9,4,7,3,1,0,1,6.009623667723892,small,0,0
TXN_00009633,2025-03-07 09:56:59.017445,ACC_000010,PERSONAL,2455,76108.61,6.18,PURCHASE,VA,retail,online,DESKTOP,EUR,False,192.168.72.83,0,,9,4,7,3,1,0,1,1.9712993830601329,micro,0,0
TXN_00003417,2025-03-07 09:58:05.017445,ACC_000474,BUSINESS,2263,31027.08,352.97,PURCHASE,MO,automotive,branch,TABLET,USD,False,192.168.230.12,0,,9,4,7,3,1,0,1,5.869212163779937,small,0,1
TXN_00009116,2025-03-07 09:58:24.017445,ACC_000259,PERSONAL,116,43947.56,939.51,WITHDRAWAL,NY,grocery,atm,TABLET,USD,False,192.168.51.1,0,,9,4,7,3,1,0,1,6.84642228132677,medium,0,0
TXN_00003182,2025-03-07 09:59:45.017445,ACC_000436,JOINT,348,41566.25,25.17,PURCHASE,CO,education,mobile_app,MOBILE,USD,False,192.168.78.118,0,,9,4,7,3,1,0,1,3.2646137165420543,micro,0,0
TXN_00002637,2025-03-07 10:01:10.017445,ACC_000224,BUSINESS,1675,69281.64,617.55,TRANSFER,NY,restaurant,atm,POS,USD,False,192.168.74.186,0,,10,4,7,3,1,0,1,6.427378029308841,medium,0,0
TXN_00004475,2025-03-07 10:02:49.017445,ACC_000485,BUSINESS,3350,70935.89,350.18,PAYMENT,MA,retail,online,MOBILE,USD,False,192.168.169.100,0,,10,4,7,3,1,0,1,5.8612989125311845,small,0,0
TXN_00008231,2025-03-07 10:04:52.017445,ACC_000382,JOINT,2657,24001.55,73.39,PAYMENT,TN,restaurant,online,MOBILE,EUR,False,192.168.159.147,0,,10,4,7,3,1,0,1,4.30932152420325,micro,0,0
TXN_00008404,2025-03-07 10:06:26.017445,ACC_000004,PERSONAL,2069,68475.51,20.63,PURCHASE,MA,retail,online,MOBILE,USD,False,192.168.83.92,0,,10,4,7,3,1,0,1,3.0740812399649675,micro,0,0
TXN_00000739,2025-03-07 10:07:03.017445,ACC_000289,BUSINESS,8,72958.17,3423.38,PAYMENT,NY,entertainment,mobile_app,POS,EUR,False,192.168.213.141,0,,10,4,7,3,1,0,1,8.138675712412073,large,0,1
TXN_00003311,2025-03-07 10:07:06.017445,ACC_000068,PERSONAL,2159,28228.67,220.54,WITHDRAWAL,IN,retail,atm,ATM,USD,False,192.168.203.6,0,,10,4,7,3,1,0,1,5.400603160088787,small,0,0
TXN_00003549,2025-03-07 10:07:50.017445,ACC_000163,PERSONAL,650,44347.72,20.3,WITHDRAWAL,CA,restaurant,online,MOBILE,USD,False,192.168.249.173,0,,10,4,7,3,1,0,1,3.0587070727153796,micro,0,0
TXN_00001390,2025-03-07 10:08:26.017445,ACC_000069,PERSONAL,3392,22617.87,7.12,DEPOSIT,WA,restaurant,mobile_app,MOBILE,EUR,False,192.168.155.180,0,,10,4,7,3,1,0,1,2.0943301541735866,micro,0,0
TXN_00002795,2025-03-07 10:08:41.017445,ACC_000355,BUSINESS,1875,67658.04,848.76,WITHDRAWAL,NY,entertainment,branch,TABLET,USD,False,192.168.237.1,0,,10,4,7,3,1,0,1,6.744953956674089,medium,0,1
TXN_00005699,2025-03-07 10:09:43.017445,ACC_000125,PERSONAL,2507,85442.53,6.97,PAYMENT,MA,restaurant,mobile_app,MOBILE,EUR,False,192.168.17.37,0,,10,4,7,3,1,0,1,2.075684492802124,micro,0,0
TXN_00002509,2025-03-07 10:12:05.017445,ACC_000145,PERSONAL,2934,73207.34,2639.32,TRANSFER,IL,jewelry,atm,DESKTOP,GBP,False,192.168.107.95,0,,10,4,7,3,1,0,1,7.878655400915979,large,1,0
